label	from_chebi	to_chebi	method
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na-thioglycolate	CHEBI:86158	CHEBI:86481	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
trypticase peptone	CHEBI:32588	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casamino acids	CHEBI:32599	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casamino acids	CHEBI:32599	REMOVED	mixture_no_chebi
na-thioglycolate	CHEBI:86158	CHEBI:86481	corpus_consensus
malt extract	CHEBI:2509	REMOVED	mixture_no_chebi
casitone	CHEBI:2509	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casamino acids	CHEBI:32599	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
kno3	CHEBI:17632	CHEBI:63043	oak_ols_exact
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
bacto peptone	CHEBI:36218	REMOVED	mixture_no_chebi
bacto peptone	CHEBI:36218	REMOVED	mixture_no_chebi
difco marine broth	CHEBI:15956	REMOVED	mixture_no_chebi
pancreatic digest of casein	CHEBI:85248	REMOVED	mixture_no_chebi
soy peptone	CHEBI:32599	REMOVED	mixture_no_chebi
malt extract	CHEBI:2509	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
bacto peptone	CHEBI:36218	REMOVED	mixture_no_chebi
sea water	CHEBI:75228	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
trypticase peptone	CHEBI:32588	REMOVED	mixture_no_chebi
kno3	CHEBI:17632	CHEBI:63043	oak_ols_exact
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
tryptone peptone	CHEBI:6636	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casein peptone	CHEBI:22652	REMOVED	mixture_no_chebi
na-thioglycolate	CHEBI:86158	CHEBI:86481	corpus_consensus
marine broth	CHEBI:2509	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mnso4 x 5 h2o	CHEBI:31440	CHEBI:131524	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na2seo4	CHEBI:32139	CHEBI:77775	oak_ols_exact
trypticase soy broth	CHEBI:31206	REMOVED	mixture_no_chebi
casein peptone	CHEBI:22652	REMOVED	mixture_no_chebi
soy peptone	CHEBI:32599	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na2s2o3	CHEBI:31206	CHEBI:132112	oak_ols_exact
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
casamino acids	CHEBI:32599	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
proteose peptone no. 3	CHEBI:42758	REMOVED	mixture_no_chebi
bacto peptone	CHEBI:36218	REMOVED	mixture_no_chebi
pennassay broth	CHEBI:42758	REMOVED	mixture_no_chebi
casein hydrolysate	CHEBI:32599	REMOVED	mixture_no_chebi
casamino acids	CHEBI:32599	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casein peptone	CHEBI:22652	REMOVED	mixture_no_chebi
soy peptone	CHEBI:32599	REMOVED	mixture_no_chebi
tryptone	CHEBI:33118	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
trypticase peptone	CHEBI:32588	REMOVED	mixture_no_chebi
phytone peptone	CHEBI:131527	REMOVED	mixture_no_chebi
beef extract	CHEBI:2509	REMOVED	mixture_no_chebi
casamino acids	CHEBI:32599	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casamino acids	CHEBI:32599	REMOVED	mixture_no_chebi
casein peptone	CHEBI:22652	REMOVED	mixture_no_chebi
beef extract	CHEBI:2509	REMOVED	mixture_no_chebi
beef extract	CHEBI:2509	REMOVED	mixture_no_chebi
tryptone peptone	CHEBI:6636	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na-thioglycolate	CHEBI:86158	CHEBI:86481	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casein hydrolysate	CHEBI:32599	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casitone	CHEBI:2509	REMOVED	mixture_no_chebi
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
tryptone	CHEBI:33118	REMOVED	mixture_no_chebi
beef extract	CHEBI:2509	REMOVED	mixture_no_chebi
casein peptone	CHEBI:22652	REMOVED	mixture_no_chebi
proteose peptone no. 3	CHEBI:42758	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
kno3	CHEBI:17632	CHEBI:63043	oak_ols_exact
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
tryptone	CHEBI:33118	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
proteose peptone no. 3	CHEBI:42758	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mnso4 x 5 h2o	CHEBI:31440	CHEBI:131524	corpus_consensus
bacto peptone	CHEBI:36218	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
kno3	CHEBI:17632	CHEBI:63043	oak_ols_exact
tryptone	CHEBI:33118	REMOVED	mixture_no_chebi
sea water	CHEBI:75228	REMOVED	mixture_no_chebi
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
proteose peptone	CHEBI:62946	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
proteose peptone	CHEBI:62946	REMOVED	mixture_no_chebi
sea water	CHEBI:75228	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
kno3	CHEBI:17632	CHEBI:63043	oak_ols_exact
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
casitone	CHEBI:2509	REMOVED	mixture_no_chebi
casein peptone	CHEBI:22652	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
lab-lemco beef extract	CHEBI:26710	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mnso4 x 5 h2o	CHEBI:31440	CHEBI:131524	corpus_consensus
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
tryptone	CHEBI:33118	REMOVED	mixture_no_chebi
kno3	CHEBI:17632	CHEBI:63043	oak_ols_exact
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na-butyrate	CHEBI:31206	CHEBI:64103	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
trypticase peptone	CHEBI:32588	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na-thioglycolate	CHEBI:86158	CHEBI:86481	corpus_consensus
tryptone	CHEBI:33118	REMOVED	mixture_no_chebi
beef extract	CHEBI:2509	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
casitone	CHEBI:2509	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
bacto peptone	CHEBI:36218	REMOVED	mixture_no_chebi
kno3	CHEBI:17632	CHEBI:63043	oak_ols_exact
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
proteose peptone no. 3	CHEBI:42758	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
casein peptone	CHEBI:22652	REMOVED	mixture_no_chebi
horse serum	CHEBI:78018	REMOVED	mixture_no_chebi
beef extract	CHEBI:2509	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
sea water	CHEBI:75228	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
tryptone	CHEBI:33118	REMOVED	mixture_no_chebi
na2moo4 x 2 h2o	CHEBI:35696	CHEBI:75213	corpus_consensus
peptone	CHEBI:42758	REMOVED	mixture_no_chebi
mgso4 x 7 h2o	CHEBI:31206	CHEBI:31795	corpus_consensus
